,tweet
145,"2015: ""Why Did Russia Veto Recognizing Srebrenica as a Genocide?”  turns out there was another reason.   https://t.co/6mtX579vjh"
146, witcherydelea  Podolyak_M  LookUpFindBirds NATO has no jurisdiction here.  It has no connection to Ukraine or Russia.
147, suzseddon WTAF - of course Russia is the enemy - haven't you seen what they are doing.
148, MysterySolvent I Still See Russia From My Porch.
149," arxyeleach  MaciejPasawski  nexta_tv What you don't know, is that Russia is an Ukrainian enemy from like, forever. With or whitout the help of Europe, Ukraine will fight with Russia. Not because we Ukrainians want this war. It's because Russian will never stop to be an invasor."
150,"When has a politician seeking to remain in office ever presented on the platform of ""Let's hate this minority group over here everyone!""  Think really hard. How familiar is this? That is not a politician.  #DontSayGay #Disney #Ukraine #Russia"
151, ebankfinance Western media are creating news against Russia I guess. Russia sent more than 1000 tanks to Germany during world war-2.
152,"Wish russia would leave  ukriane alone, putin is what I've always thought off.  An evil bastard"
153," oonuch  IlvesToomas Chuck Russia off the Security Council,  launch an ICC investigation into this and other crimes. Do it now!"
154,Russia will never be forgiven for this genocide. We weep for Ukraine.
155," naninizhoni Mexico's approval of the US is highly dependent on if they like our president, but even with extremely unpopular presidents our approval rating is in the mid-30s.  What's Russia's approval rating in Poland?"
156, TTibuhaburwa To the Russian government employee who wrote this tweet: I assume you don't have the same restricted media that your fellow Russians in Russia do? Do you feel any guilt for Pushing a 100% lie for money? Russia is murdering civilians in Ukraine.
157,Nations interest comes first. Why should'nt we buy cheap oil from russia? We've already started buying. Indian finance minister #GenBajwa
158, ad1140 Yeah and where are all of Bidens phone records with China and Russia I think they are more urgent and a threat to our country than false reports of a rally that could have been prevented had Pelosi ok'd the request of Trump for military support it never would have happened
159,‘No hope for science in Russia’: the academics trying to flee to the west  https://t.co/BFNgbhxMRu
160,"#Russia’s chilling dream of new ‘#world order’ with #China The US has been pressing China not to support Russia – but Vladimir Putin has other, grander, plans, and the signs from #Beijing are ominous. #UkraineWar #PutinMustGo #CcpCancer  https://t.co/qN7FJvxOks"
161, mfa_russia Lavrov -  a pathetic puppet of Putin - bring Putin down or you will go with him !
162,Russia screws up everything from fuel to food to the Olympics.  UK Sleepwalking Into Food Crisis As Fresh Produce Set To Vanish From Supermarkets  https://t.co/inNeS4LmUJ via  thenaturalblaze
163,Most recent list of companies that haven't left Russia.  #UkraineRussiaWar  https://t.co/lpI153Ww7u
164," MollyJongFast They are meant to be. Russia is trying to make things so horrible, people just give up. There should be no end to any sanctions until everyone that committed, or ordered these crimes is turned over to the Hague.  This includes Putin."
165," AGCS_Insurance  Allianz  InsiderEngage Stop funding Russia's war against Ukraine! Right now, Russia is killing Ukrainian civilians with fascist methods. Putin is Hitler, stop cooperation!"
166, rexomnia Most of the UAF are concentrated in donbass. Russia's had a lot of success at the Izyum salient. Which is a good indicator that UA mobility is shot.
167, olex_scherba The stain of Russia's crime in Ukraine will be in the history books about Russia and its people for centuries to come.
168," xx_V2_xx  AnonOpsSE Russia planned to easy-take Kyiv within 3 days, following by capitulation of Ukraine; - Russian army units were followed by thousands of riot police; - Russian army purchased 45,000 body bags and brought mobile crematories"
169,#UnitedStates is a fucking cancer on the whole planet. This sort of attitude is pervasive among successive governments there. This guy is just saying what all in power in the US think. And dumbarses think Russia and China are the problem!
170, MaxxxFeddd  igorsushko a recurring theme is the letters is that russia wants to reframe this war as a global West attacking the East rather than Russia invade Ukraine. To do see they want as many conflicts popping up everywhere so the west is forced to  concede ukraine or become part of world war.
171, mfa_russia Here is your reality Lavrov and your genrouse Russian culture much better than decay of West Your country is a disgrace to the world   https://t.co/LlIAsQYIVr
172," MichaelEmmrich1 I agree, Russia is, &amp; should be a proud country, it has a tremendous tradition.Every EU country, has a tremendous tradition,which is sadly wiped out by EU politicians &amp; the wish for a united Europe. I am not a European, I am a proud Scotsman with German roots, I am not a European"
173," RF_OSCE  mfa_russia  RusBotschaft  PLinOSCE  RussiaUN  RusEmbassyMinsk  RusEmbUSA  EUOSCE Liars, liars, liars"
174, fundstrat  jonathanharrier More than a whisper Tom! China allowing reviews ✅  Ukraine-Russia peace talks ✅ TSLA car sales ✅ SPR release ✅  🚀🚀🚀
175,Russia holds onto positions near Kyiv; UK spy chief says Putin ‘massively misjudged’ war – CNBC  https://t.co/1QqTbrcFvk
